Main_Topic,Unit,Topic_Title,Sub_Topic
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.1 Meaning, Scope & Role of Statistics",Definition and scope of statistics as a discipline
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.1 Meaning, Scope & Role of Statistics",Descriptive vs. inferential statistics
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.1 Meaning, Scope & Role of Statistics",Role of statistics in scientific research and data-driven decision making
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.1 Meaning, Scope & Role of Statistics",Historical evolution from census data to modern data science
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.2 Importance of Statistics in AI & Machine Learning,Statistical thinking as the backbone of ML algorithms
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.2 Importance of Statistics in AI & Machine Learning,"How statistical concepts drive model training, evaluation, and inference"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.2 Importance of Statistics in AI & Machine Learning,"Statistics in feature engineering, hypothesis testing, and experiment design"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.2 Importance of Statistics in AI & Machine Learning,Bridging domain knowledge with data through statistical frameworks
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.3 Types of Data,Qualitative (categorical) vs. Quantitative (numerical) data
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.3 Types of Data,Discrete vs. Continuous variables
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.3 Types of Data,"Structured data (tabular), Semi-structured (JSON, XML), Unstructured (text, images, audio)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.3 Types of Data,"Data types in Python: int, float, string, datetime, categorical (Pandas)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.4 Population, Sample & Variables",Population vs. sample: definitions and relationships
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.4 Population, Sample & Variables",Statistical variables and features in ML context
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.4 Population, Sample & Variables",Parameter vs. statistic distinction
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,"1.4 Population, Sample & Variables",Sampling frame and target population
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.5 Scales of Measurement,Nominal scale: categories without order
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.5 Scales of Measurement,Ordinal scale: ordered categories
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.5 Scales of Measurement,"Interval scale: equal intervals, no true zero"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.5 Scales of Measurement,Ratio scale: equal intervals with true zero
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.5 Scales of Measurement,Implications for choosing ML algorithms and distance metrics
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.6 Data Collection & Organization,"Primary data collection: surveys, experiments, sensors, APIs"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.6 Data Collection & Organization,"Secondary data: public datasets, databases, web scraping"
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.6 Data Collection & Organization,Classification and tabulation of data
STATISTICS FOR AI & MACHINE LEARNING,Unit 1: Statistical Foundations,1.6 Data Collection & Organization,"Data quality assessment: completeness, consistency, accuracy, timeliness"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.1 Measures of Central Tendency,"Arithmetic Mean: properties, sensitivity to outliers, weighted mean"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.1 Measures of Central Tendency,Geometric Mean: applications in growth rates and ratios
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.1 Measures of Central Tendency,"Harmonic Mean: use in rates and speed calculations, F1-score connection"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.1 Measures of Central Tendency,"Median: robustness to outliers, percentile interpretation"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.1 Measures of Central Tendency,"Mode: unimodal, bimodal, multimodal distributions"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.2 Measures of Dispersion,"Range: simplest measure, limitations"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.2 Measures of Dispersion,Mean Deviation (Mean Absolute Deviation)
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.2 Measures of Dispersion,"Variance: population vs. sample variance, Bessel’s correction"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.2 Measures of Dispersion,"Standard Deviation: interpretation, empirical rule (68-95-99.7)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.2 Measures of Dispersion,"Interquartile Range (IQR): robust dispersion measure, boxplot connection"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.3 Relative Measures & Moments,Coefficient of Variation: comparing variability across scales
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.3 Relative Measures & Moments,Raw Moments and Central Moments
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.3 Relative Measures & Moments,Moment generating functions (overview)
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.4 Measures of Shape,"Skewness: positive, negative, symmetric distributions"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.4 Measures of Shape,"Kurtosis: leptokurtic, mesokurtic, platykurtic"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.4 Measures of Shape,Impact of skewness/kurtosis on ML model assumptions
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.4 Measures of Shape,"Transformations to handle skewness: log, Box-Cox, Yeo-Johnson"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.5 Outliers & Exploratory Data Analysis,"Outlier detection: IQR method, Z-score, modified Z-score"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.5 Outliers & Exploratory Data Analysis,Isolation Forest and statistical anomaly detection
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.5 Outliers & Exploratory Data Analysis,"EDA workflow: univariate, bivariate, multivariate analysis"
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.5 Outliers & Exploratory Data Analysis,"Visualization: histograms, boxplots, violin plots, pair plots, heatmaps"
